trade_date,open,high,low,close,vol,amount,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14
2025-12-11,1406.66,1411.99,1401.55,1411.99,22385.01,3149974.074,23.75276362587718,-11.592891631376233,-6.864295647229746,-4.728595984146487,1488.3679267802806,1442.653,1396.9380732197194,15.775492435115892
2025-12-12,1418.0,1425.0,1413.57,1420.65,37159.19,5273563.274,34.01977775512292,-11.111518401937246,-7.713740198171246,-3.3977782037660003,1487.0855929447944,1440.8555000000001,1394.6254070552059,15.406760110433773
2025-12-15,1439.59,1439.99,1425.57,1426.0,33358.79,4774362.06,40.295556249349545,-10.180966516742046,-8.207185461885407,-1.973781054856639,1483.002150169984,1438.6055000000001,1394.2088498300163,15.931192095709259
2025-12-16,1426.2,1428.78,1415.0,1422.0,23963.67,3403139.194,35.79872371586984,-9.65496755806521,-8.496741881121368,-1.1582256769438413,1477.18539467296,1435.9055,1394.6256053270401,15.644366482948021
2025-12-17,1425.0,1439.94,1417.68,1433.1,31382.49,4489482.138,43.22777565814572,-8.247361906018341,-8.446865886100763,0.19950398008242232,1471.8401678558282,1434.01,1396.1798321441718,16.526450951888283
2025-12-18,1433.5,1438.88,1426.11,1431.0,17829.95,2551177.659,40.60150375939848,-7.21807130220941,-8.201106969322494,0.983035667113084,1466.6812842406903,1432.2045,1397.7277157593098,16.025590824969875
2025-12-19,1410.0,1412.45,1401.01,1410.0,26508.68,3733028.357,34.45680628272248,-8.004603492362321,-8.161806273930459,0.15720278156813805,1461.1496723503574,1429.3745000000001,1397.5993276496429,17.887512048307226
2025-12-22,1410.0,1414.14,1406.58,1408.26,20425.65,2881636.856,37.603785376305666,-8.668415282455271,-8.263128075635422,-0.40528720681984964,1458.4222376624534,1427.1875,1395.9527623375466,16.510510441866288
2025-12-23,1408.26,1412.93,1397.19,1407.86,24506.81,3445377.032,39.931740614334444,-9.121619217343323,-8.434826303977003,-0.68679291336632,1456.5858991139419,1425.348,1394.110100886058,16.407775716284117
2025-12-24,1404.99,1406.36,1400.0,1400.9,25186.69,3533253.565,39.24711144241521,-9.927957123966735,-8.73345246797495,-1.1945046559917856,1453.8848524972689,1422.9355,1391.9861475027312,15.268072287446222
2025-12-25,1405.0,1419.48,1401.38,1414.17,23386.21,3299572.096,43.086592178770964,-9.387988736005582,-8.864359721581076,-0.5236290144245057,1450.2187624112787,1421.279,1392.3392375887213,15.70966264912005
2025-12-26,1414.17,1419.14,1410.0,1414.13,17802.99,2520605.635,48.010893881918136,-8.861141836765228,-8.863716144617907,0.002574307852679425,1445.0453404744974,1419.4605,1393.8756595255024,14.83370762923739
2025-12-29,1414.13,1414.13,1401.0,1402.0,26308.1,3694660.107,50.50649749309322,-9.315023703893075,-8.953977656472942,-0.3610460474201336,1440.0737932917534,1417.1605,1394.2472067082465,14.606546612005753
2025-12-30,1401.0,1401.9,1386.0,1389.72,33791.94,4702489.813,43.956754758824644,-10.544076178664,-9.271997360911154,-1.2720788177528455,1439.0525781957945,1414.845,1390.6374218042056,14.792340397071653
2025-12-31,1390.0,1394.0,1377.17,1377.18,34765.63,4799456.452,34.399928296136935,-12.387190497317306,-9.895035988192385,-2.492154509124921,1440.771181137535,1412.249,1383.726818862465,15.064028344128756
2026-01-05,1385.0,1431.88,1385.0,1426.0,70949.42,10018086.372,51.76300006590651,-9.79558843361474,-9.875146477276855,0.07955804366211616,1441.0607718644567,1412.35,1383.6392281355431,20.348824564911595
2026-01-06,1432.55,1436.97,1416.53,1428.01,39586.18,5649710.153,50.67726935777344,-7.493158458535845,-9.398748873528653,1.9055904149928082,1440.7146595290637,1412.25,1383.7853404709363,20.360981289590057
2026-01-07,1432.88,1435.0,1420.2,1423.36,29683.8,4234255.286,50.45625335480405,-5.974808381667572,-8.713960775156437,2.7391523934888653,1441.2896527434082,1412.507,1383.724347256592,19.619517117644712
2026-01-08,1423.33,1423.36,1408.14,1412.3,29134.54,4117925.041,43.02013422818792,-5.599408083475282,-8.091050236820207,2.491642153344925,1441.3430548136143,1413.0715,1384.7999451863857,19.032914835292058
2026-01-09,1417.0,1428.6,1416.01,1419.1,29847.74,4243865.418,46.12882238126216,-4.699029979951774,-7.412646185446521,2.7136162054947466,1441.8494019463897,1413.8865,1385.9235980536105,18.668526190586444
2026-01-12,1419.1,1431.0,1417.1,1423.23,36082.66,5135636.033,54.83446612584961,-3.6105966512086525,-6.652236278598948,3.0416396273902953,1442.7012161433006,1414.4485,1386.1957838566993,18.032722698508266
2026-01-13,1426.79,1429.52,1408.99,1411.0,39168.66,5555633.779,50.92994841162097,-3.6923016312396157,-6.060249349127082,2.367947717887466,1442.1021474937438,1413.966,1385.829852506256,18.365693005373828
2026-01-14,1411.0,1422.25,1396.18,1398.01,51757.97,7285041.159,46.92014258020139,-4.75047730925553,-5.798294941152772,1.0478176318972423,1440.9655661633021,1412.5665,1384.1674338366977,19.392933937990644
2026-01-15,1396.02,1402.83,1388.58,1388.89,40907.14,5698739.671,46.29481088418585,-6.25291720161249,-5.889219393244716,-0.36369780836777466,1440.8149873419518,1410.9109999999998,1381.0070126580479,18.707209412925227
2026-01-16,1395.0,1397.5,1380.0,1382.0,55120.68,7643061.998,39.66857216263085,-7.908413787343989,-6.29305827206457,-1.6153555152794183,1439.0003568429174,1408.356,1377.7116431570826,18.54624815786853
2026-01-19,1381.9,1387.49,1375.0,1376.0,42286.4,5833745.442,38.20600061862045,-9.593963376878946,-6.953239293027446,-2.6407240838515005,1437.5385733052476,1405.606,1373.6734266947524,17.73874840348606
